region,month,SRR_file
SA,2020-06,SRR12151790
SA,2020-06,SRR12151791
SA,2020-06,SRR12151792
SA,2020-06,SRR12151793
SA,2020-06,SRR12151794
SA,2020-06,SRR12151795
SA,2020-06,SRR12151796
SA,2020-06,SRR12151797
SA,2020-06,SRR12151798
SA,2020-06,SRR12151799
SA,2020-06,SRR12151800
SA,2020-06,SRR12151801
SA,2020-06,SRR12151802
SA,2020-06,SRR12151803
SA,2020-06,SRR12151804
SA,2020-06,SRR12151805
SA,2020-06,SRR12151806
SA,2020-06,SRR12151807
SA,2020-06,SRR12151808
SA,2020-06,SRR12151809
SA,2020-06,SRR12151810
SA,2020-06,SRR12151811
SA,2020-06,SRR12151812
SA,2020-06,SRR12151813
SA,2020-06,SRR12151814
SA,2020-06,SRR12151815
SA,2020-06,SRR12151816
SA,2020-06,SRR12151817
SA,2020-06,SRR12151818
SA,2020-06,SRR12151819
SA,2020-06,SRR12338197
SA,2020-06,SRR12338198
SA,2020-06,SRR12338216
SA,2020-06,SRR12338218
SA,2020-06,SRR12338219
SA,2020-06,SRR12338220
SA,2020-06,SRR12338224
SA,2020-06,SRR12338227
SA,2020-06,SRR12338231
SA,2020-06,SRR12338279
SA,2020-06,SRR12338280
SA,2020-06,SRR12338281
SA,2020-06,SRR12338282
SA,2020-06,SRR12338283
SA,2020-06,SRR12338284
SA,2020-06,SRR12338286
SA,2020-06,SRR12338287
SA,2020-06,SRR12338288
SA,2020-06,SRR12338289
SA,2020-06,SRR12338290
SA,2020-06,SRR12338291
SA,2020-06,SRR12338292
SA,2020-06,SRR12338293
SA,2020-06,SRR12338294
SA,2020-06,SRR12338295
SA,2020-06,SRR12338297
SA,2020-06,SRR12338298
SA,2020-06,SRR12338299
SA,2020-06,SRR12338300
SA,2020-06,SRR12338301
SA,2020-06,SRR12338302
SA,2020-06,SRR12338303
SA,2020-06,SRR12338304
SA,2020-06,SRR12338305
SA,2020-06,SRR12338306
SA,2020-06,SRR12338308
SA,2020-06,SRR12338309
SA,2020-06,SRR12338310
SA,2020-06,SRR12338311
SA,2020-06,SRR12338312
SA,2020-06,SRR12338313
SA,2020-06,SRR12338314
SA,2020-06,SRR12338315
SA,2020-06,SRR12338316
SA,2020-06,SRR12338317
SA,2020-06,SRR12338319
SA,2020-06,SRR12338320
SA,2020-06,SRR12338321
SA,2020-06,SRR15061374
SA,2020-06,SRR15061375
SA,2020-06,SRR15061376
SA,2020-06,SRR15061377
SA,2020-06,SRR15061378
SA,2020-06,SRR22561797
SA,2020-07,SRR12338193
SA,2020-07,SRR12338194
SA,2020-07,SRR12338196
SA,2020-07,SRR12338199
SA,2020-07,SRR12338200
SA,2020-07,SRR12338201
SA,2020-07,SRR12338202
SA,2020-07,SRR12338203
SA,2020-07,SRR12338204
SA,2020-07,SRR12338205
SA,2020-07,SRR12338207
SA,2020-07,SRR12338208
SA,2020-07,SRR12338209
SA,2020-07,SRR12338210
SA,2020-07,SRR12338211
SA,2020-07,SRR12338212
SA,2020-07,SRR12338213
SA,2020-07,SRR12338214
SA,2020-07,SRR12338215
SA,2020-07,SRR12338221
SA,2020-07,SRR12338222
SA,2020-07,SRR12338223
SA,2020-07,SRR12338225
SA,2020-07,SRR12338226
SA,2020-07,SRR12338229
SA,2020-07,SRR12338230
SA,2020-07,SRR12338232
SA,2020-07,SRR12338233
SA,2020-07,SRR12338234
SA,2020-07,SRR12338235
SA,2020-07,SRR12338236
SA,2020-07,SRR12338237
SA,2020-07,SRR12338238
SA,2020-07,SRR12338240
SA,2020-07,SRR12338241
SA,2020-07,SRR12338242
SA,2020-07,SRR12338243
SA,2020-07,SRR12338244
SA,2020-07,SRR12338245
SA,2020-07,SRR12338246
SA,2020-07,SRR12338247
SA,2020-07,SRR12338248
SA,2020-07,SRR12338249
SA,2020-07,SRR12338251
SA,2020-07,SRR12338252
SA,2020-07,SRR12338253
SA,2020-07,SRR12338254
SA,2020-07,SRR12338255
SA,2020-07,SRR12338256
SA,2020-07,SRR12338257
SA,2020-07,SRR12338258
SA,2020-07,SRR12338259
SA,2020-07,SRR12338260
SA,2020-07,SRR12338261
SA,2020-07,SRR12338359
SA,2020-07,SRR12338362
SA,2020-07,SRR12338363
SA,2020-07,SRR12338364
SA,2020-07,SRR12338365
SA,2020-07,SRR12338366
SA,2020-07,SRR12338367
SA,2020-07,SRR12338368
SA,2020-07,SRR12338370
SA,2020-07,SRR12338371
SA,2020-07,SRR12338374
SA,2020-07,SRR12338375
SA,2020-07,SRR12338377
SA,2020-07,SRR12338379
SA,2020-07,SRR12338380
SA,2020-07,SRR12338381
SA,2020-07,SRR12338382
SA,2020-07,SRR12338385
SA,2020-07,SRR12338387
SA,2020-07,SRR12338388
SA,2020-07,SRR12338389
SA,2020-07,SRR12338390
SA,2020-07,SRR12338391
SA,2020-07,SRR12338392
SA,2020-07,SRR12338393
SA,2020-07,SRR12338395
SA,2020-07,SRR12338397
SA,2020-07,SRR12338398
SA,2020-07,SRR12338399
SA,2020-07,SRR12338402
SA,2020-07,SRR12338407
SA,2020-07,SRR12338408
SA,2020-07,SRR12338409
SA,2020-07,SRR12338410
SA,2020-07,SRR15683053
SA,2020-07,SRR15683054
SA,2020-07,SRR15683056
SA,2020-07,SRR15683057
SA,2020-07,SRR15683058
SA,2020-07,SRR15683059
SA,2020-07,SRR15683060
SA,2020-07,SRR15683555
SA,2020-07,SRR15683557
SA,2020-07,SRR15683558
SA,2020-07,SRR15683559
SA,2020-07,SRR15683560
SA,2020-07,SRR18038056
SA,2020-07,SRR18038057
SA,2020-07,SRR20770912
SA,2020-08,SRR14411471
SA,2020-08,SRR14657875
SA,2020-08,SRR14657876
SA,2020-08,SRR14657877
SA,2020-08,SRR14657878
SA,2020-08,SRR14657879
SA,2020-08,SRR14657880
SA,2020-08,SRR14657881
SA,2020-08,SRR14657882
SA,2020-08,SRR14657884
SA,2020-08,SRR14657885
SA,2020-08,SRR15683055
SA,2020-08,SRR15683556
